param_name,param_value,trial_id,timestep,semantic_variance,semantic_spread,polarization_index,mean_similarity,num_reasons
p,0.7,1,7,0.008985250256955624,0.6188074946403503,0.41990143060684204,0.580098569393158,15
p,0.7,1,8,0.04874660447239876,0.47417956590652466,0.2816399335861206,0.7183600664138794,35
p,0.7,1,9,0.009999599307775497,0.4878188371658325,0.2656787633895874,0.7343212366104126,15
p,0.7,1,10,0.021405356004834175,0.5029768347740173,0.28686338663101196,0.713136613368988,23
p,0.7,1,11,0.019267987459897995,0.502800464630127,0.2808529734611511,0.7191470265388489,32
p,0.7,1,12,0.04452180489897728,0.4308473765850067,0.23935723304748535,0.7606427669525146,26
p,0.7,1,13,0.03801507502794266,0.21243922412395477,0.08582746982574463,0.9141725301742554,32
p,0.7,1,14,0.010257120244204998,0.13335292041301727,0.028889775276184082,0.9711102247238159,34
p,0.7,1,15,0.0,0.0,0.0,1.0,0
p,0.7,2,0,0.02857447974383831,0.36416855454444885,0.1706751585006714,0.8293248414993286,18
p,0.7,2,1,0.005652724299579859,0.2945515215396881,0.10268145799636841,0.8973185420036316,10
p,0.7,2,2,0.004280631430447102,0.18505418300628662,0.05778855085372925,0.9422114491462708,3
p,0.7,2,3,0.0,0.0,0.0,1.0,0
p,0.7,2,4,0.0,0.0,0.0,1.0,0
p,0.7,2,5,0.0,0.0,0.0,1.0,1
p,0.7,2,6,0.0,0.0,0.0,1.0,1
p,0.7,2,7,0.0,0.0,0.0,1.0,1
p,0.7,2,8,0.013337654992938042,0.4577174782752991,0.2785536050796509,0.7214463949203491,5
p,0.7,2,9,0.006771503947675228,0.33281081914901733,0.13432514667510986,0.8656748533248901,8
p,0.7,2,10,0.001276543946005404,0.12663817405700684,0.023085057735443115,0.9769149422645569,4
p,0.7,2,11,0.012375086545944214,0.5116683840751648,0.2878885269165039,0.7121114730834961,21
p,0.7,2,12,0.009055035188794136,0.4846556782722473,0.252358078956604,0.747641921043396,30
p,0.7,2,13,0.012011801823973656,0.17217877507209778,0.04512876272201538,0.9548712372779846,13
p,0.7,2,14,0.006542726419866085,0.26885080337524414,0.08095377683639526,0.9190462231636047,38
p,0.7,2,15,0.0,0.0,0.0,1.0,0
p,1.0,0,0,0.01235005259513855,0.37024837732315063,0.1577357053756714,0.8422642946243286,19
